RunID,ConfigID,Repetition,Problema,PopSize,CrossoverProb,MutationProb,Generations,TiempoMs,Seed,SolutionID,Objetivo,Valor
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1429,1043,1,O2,32.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1429,1043,1,Restriccion,0.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1429,1043,2,O1,87.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1429,1043,2,O2,31.000000
C01_R43,1,43,HandballFixture,100,1.000,0.010,1000,1429,1043,2,Restriccion,0.000000
C01_R44,1,44,HandballFixture,100,1.000,0.010,1000,1387,1044,1,O1,84.000000
C01_R44,1,44,HandballFixture,100,1.000,0.010,1000,1387,1044,1,O2,16.000000
C01_R44,1,44,HandballFixture,100,1.000,0.010,1000,1387,1044,1,Restriccion,0.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1359,1045,1,O1,84.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1359,1045,1,O2,20.000000
C01_R45,1,45,HandballFixture,100,1.000,0.010,1000,1359,1045,1,Restriccion,0.000000
C01_R46,1,46,HandballFixture,100,1.000,0.010,1000,1427,1046,1,O1,84.000000
C01_R46,1,46,HandballFixture,100,1.000,0.010,1000,1427,1046,1,O2,20.000000
C01_R46,1,46,HandballFixture,100,1.000,0.010,1000,1427,1046,1,Restriccion,0.000000
C01_R47,1,47,HandballFixture,100,1.000,0.010,1000,1379,1047,1,O1,84.000000
C01_R47,1,47,HandballFixture,100,1.000,0.010,1000,1379,1047,1,O2,12.000000
C01_R47,1,47,HandballFixture,100,1.000,0.010,1000,1379,1047,1,Restriccion,0.000000
C01_R48,1,48,HandballFixture,100,1.000,0.010,1000,1387,1048,1,O1,84.000000
C01_R48,1,48,HandballFixture,100,1.000,0.010,1000,1387,1048,1,O2,18.000000
C01_R48,1,48,HandballFixture,100,1.000,0.010,1000,1387,1048,1,Restriccion,0.000000
C01_R49,1,49,HandballFixture,100,1.000,0.010,1000,1444,1049,1,O1,84.000000
C01_R49,1,49,HandballFixture,100,1.000,0.010,1000,1444,1049,1,O2,16.000000
C01_R49,1,49,HandballFixture,100,1.000,0.010,1000,1444,1049,1,Restriccion,0.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1413,1050,1,O1,84.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1413,1050,1,O2,17.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1413,1050,1,Restriccion,0.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1413,1050,2,O1,85.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1413,1050,2,O2,16.000000
C01_R50,1,50,HandballFixture,100,1.000,0.010,1000,1413,1050,2,Restriccion,0.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,2142,2001,1,O1,85.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,2142,2001,1,O2,17.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,2142,2001,1,Restriccion,0.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,2142,2001,2,O1,84.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,2142,2001,2,O2,18.000000
C02_R01,2,1,HandballFixture,100,1.000,0.010,1500,2142,2001,2,Restriccion,0.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,2015,2002,1,O1,84.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,2015,2002,1,O2,24.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,2015,2002,1,Restriccion,0.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,2015,2002,2,O1,86.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,2015,2002,2,O2,22.000000
C02_R02,2,2,HandballFixture,100,1.000,0.010,1500,2015,2002,2,Restriccion,0.000000
C02_R03,2,3,HandballFixture,100,1.000,0.010,1500,2005,2003,1,O1,84.000000
C02_R03,2,3,HandballFixture,100,1.000,0.010,1500,2005,2003,1,O2,12.000000
C02_R03,2,3,HandballFixture,100,1.000,0.010,1500,2005,2003,1,Restriccion,0.000000
C02_R04,2,4,HandballFixture,100,1.000,0.010,1500,2069,2004,1,O1,84.000000
C02_R04,2,4,HandballFixture,100,1.000,0.010,1500,2069,2004,1,O2,18.000000
C02_R04,2,4,HandballFixture,100,1.000,0.010,1500,2069,2004,1,Restriccion,0.000000
C02_R05,2,5,HandballFixture,100,1.000,0.010,1500,2007,2005,1,O1,84.000000
C02_R05,2,5,HandballFixture,100,1.000,0.010,1500,2007,2005,1,O2,32.000000
C02_R05,2,5,HandballFixture,100,1.000,0.010,1500,2007,2005,1,Restriccion,0.000000
C02_R06,2,6,HandballFixture,100,1.000,0.010,1500,2005,2006,1,O1,84.000000
C02_R06,2,6,HandballFixture,100,1.000,0.010,1500,2005,2006,1,O2,20.000000
C02_R06,2,6,HandballFixture,100,1.000,0.010,1500,2005,2006,1,Restriccion,0.000000
C02_R07,2,7,HandballFixture,100,1.000,0.010,1500,2018,2007,1,O1,84.000000
C02_R07,2,7,HandballFixture,100,1.000,0.010,1500,2018,2007,1,O2,21.000000
C02_R07,2,7,HandballFixture,100,1.000,0.010,1500,2018,2007,1,Restriccion,0.000000
C02_R08,2,8,HandballFixture,100,1.000,0.010,1500,2023,2008,1,O1,84.000000
C02_R08,2,8,HandballFixture,100,1.000,0.010,1500,2023,2008,1,O2,19.000000
C02_R08,2,8,HandballFixture,100,1.000,0.010,1500,2023,2008,1,Restriccion,0.000000
C02_R09,2,9,HandballFixture,100,1.000,0.010,1500,2002,2009,1,O1,84.000000
C02_R09,2,9,HandballFixture,100,1.000,0.010,1500,2002,2009,1,O2,21.000000
C02_R09,2,9,HandballFixture,100,1.000,0.010,1500,2002,2009,1,Restriccion,0.000000
C02_R10,2,10,HandballFixture,100,1.000,0.010,1500,2013,2010,1,O1,84.000000
C02_R10,2,10,HandballFixture,100,1.000,0.010,1500,2013,2010,1,O2,21.000000
C02_R10,2,10,HandballFixture,100,1.000,0.010,1500,2013,2010,1,Restriccion,0.000000
C02_R10,2,10,HandballFixture,100,1.000,0.010,1500,2013,2010,2,O1,85.000000
C02_R10,2,10,HandballFixture,100,1.000,0.010,1500,2013,2010,2,O2,19.000000
C02_R10,2,10,HandballFixture,100,1.000,0.010,1500,2013,2010,2,Restriccion,0.000000
C02_R11,2,11,HandballFixture,100,1.000,0.010,1500,2052,2011,1,O1,84.000000
C02_R11,2,11,HandballFixture,100,1.000,0.010,1500,2052,2011,1,O2,15.000000
C02_R11,2,11,HandballFixture,100,1.000,0.010,1500,2052,2011,1,Restriccion,0.000000
C02_R12,2,12,HandballFixture,100,1.000,0.010,1500,2027,2012,1,O1,84.000000
C02_R12,2,12,HandballFixture,100,1.000,0.010,1500,2027,2012,1,O2,15.000000
C02_R12,2,12,HandballFixture,100,1.000,0.010,1500,2027,2012,1,Restriccion,0.000000
C02_R13,2,13,HandballFixture,100,1.000,0.010,1500,2006,2013,1,O1,84.000000
C02_R13,2,13,HandballFixture,100,1.000,0.010,1500,2006,2013,1,O2,19.000000
C02_R13,2,13,HandballFixture,100,1.000,0.010,1500,2006,2013,1,Restriccion,0.000000
C02_R14,2,14,HandballFixture,100,1.000,0.010,1500,1997,2014,1,O1,84.000000
C02_R14,2,14,HandballFixture,100,1.000,0.010,1500,1997,2014,1,O2,18.000000
C02_R14,2,14,HandballFixture,100,1.000,0.010,1500,1997,2014,1,Restriccion,0.000000
C02_R15,2,15,HandballFixture,100,1.000,0.010,1500,2063,2015,1,O1,84.000000
C02_R15,2,15,HandballFixture,100,1.000,0.010,1500,2063,2015,1,O2,37.000000
C02_R15,2,15,HandballFixture,100,1.000,0.010,1500,2063,2015,1,Restriccion,0.000000
C02_R16,2,16,HandballFixture,100,1.000,0.010,1500,2115,2016,1,O1,84.000000
C02_R16,2,16,HandballFixture,100,1.000,0.010,1500,2115,2016,1,O2,17.000000
C02_R16,2,16,HandballFixture,100,1.000,0.010,1500,2115,2016,1,Restriccion,0.000000
C02_R17,2,17,HandballFixture,100,1.000,0.010,1500,2047,2017,1,O1,84.000000
C02_R17,2,17,HandballFixture,100,1.000,0.010,1500,2047,2017,1,O2,16.000000
C02_R17,2,17,HandballFixture,100,1.000,0.010,1500,2047,2017,1,Restriccion,0.000000
C02_R18,2,18,HandballFixture,100,1.000,0.010,1500,2107,2018,1,O1,84.000000
C02_R18,2,18,HandballFixture,100,1.000,0.010,1500,2107,2018,1,O2,16.000000
C02_R18,2,18,HandballFixture,100,1.000,0.010,1500,2107,2018,1,Restriccion,0.000000
C02_R19,2,19,HandballFixture,100,1.000,0.010,1500,2138,2019,1,O1,84.000000
C02_R19,2,19,HandballFixture,100,1.000,0.010,1500,2138,2019,1,O2,18.000000
C02_R19,2,19,HandballFixture,100,1.000,0.010,1500,2138,2019,1,Restriccion,0.000000
C02_R20,2,20,HandballFixture,100,1.000,0.010,1500,2239,2020,1,O1,84.000000
C02_R20,2,20,HandballFixture,100,1.000,0.010,1500,2239,2020,1,O2,20.000000
C02_R20,2,20,HandballFixture,100,1.000,0.010,1500,2239,2020,1,Restriccion,0.000000
C02_R21,2,21,HandballFixture,100,1.000,0.010,1500,2388,2021,1,O1,84.000000
C02_R21,2,21,HandballFixture,100,1.000,0.010,1500,2388,2021,1,O2,15.000000
C02_R21,2,21,HandballFixture,100,1.000,0.010,1500,2388,2021,1,Restriccion,0.000000
C02_R22,2,22,HandballFixture,100,1.000,0.010,1500,2277,2022,1,O1,84.000000
C02_R22,2,22,HandballFixture,100,1.000,0.010,1500,2277,2022,1,O2,14.000000
C02_R22,2,22,HandballFixture,100,1.000,0.010,1500,2277,2022,1,Restriccion,0.000000
C02_R23,2,23,HandballFixture,100,1.000,0.010,1500,2500,2023,1,O1,84.000000
C02_R23,2,23,HandballFixture,100,1.000,0.010,1500,2500,2023,1,O2,14.000000
C02_R23,2,23,HandballFixture,100,1.000,0.010,1500,2500,2023,1,Restriccion,0.000000
C02_R24,2,24,HandballFixture,100,1.000,0.010,1500,2961,2024,1,O1,84.000000
C02_R24,2,24,HandballFixture,100,1.000,0.010,1500,2961,2024,1,O2,12.000000
C02_R24,2,24,HandballFixture,100,1.000,0.010,1500,2961,2024,1,Restriccion,0.000000
C02_R25,2,25,HandballFixture,100,1.000,0.010,1500,3239,2025,1,O1,84.000000
